Year,Month,PCE,I_NS,I_ES,I_RS,I_chPI,X,IM,G,PGDP,GDP_nominal,GDP_real
1947,1,155.60138763542096,7.892478416429477,9.388859001887859,10.584278508597933,0.7108266877603556,18.220985104411266,7.374232793141459,40.264863452992245,11.118833563029538,235.28944601435862,2116.13425707444
1947,2,155.9405890929581,7.8896989969769145,9.397206853395591,10.555338749893624,0.5845753233157382,18.326639731709964,7.464604777653504,40.27203010888078,11.132230181989582,235.50147407947722,2115.492315820834
1947,3,156.941023271621,7.884822586593607,9.419934144716542,10.483382741508446,0.18959798892390614,18.634375163878772,7.718162429205038,40.285106438126974,11.171936254980883,236.1200799061642,2113.510805263436
1947,4,158.65123793396975,7.878693148960932,9.456880039702018,10.361644655840278,-0.4008579002095394,19.168182758267427,8.147558677991004,40.30230193092816,11.239515175222559,237.27052388946802,2111.0387787235645
1947,5,160.1075613046769,7.929768994035662,9.456672271486052,10.491010083044136,-1.1890012827707923,19.54963727437787,8.290674908906926,40.17972330731642,11.300673165946337,238.2346970432593,2108.1460683347627
1947,6,161.33420076135332,8.032537857003407,9.42444768881193,10.866345261115587,-2.1301408170196674,19.773179967354707,8.170766413102069,39.9319747617554,11.356811658831102,239.0617790672726,2105.007868835944
1947,7,162.29092905000874,8.190000902988482,9.35612971591201,11.52808046539439,-3.352894075766816,19.8146325538052,7.76415459289216,39.547987771292895,11.407053864975872,239.61071179074276,2100.548613401762
1947,8,163.47297464956955,8.295601730793491,9.360374804804831,12.403469342934548,-3.3190170384083313,19.529397777172132,7.589730215803425,39.31287687201838,11.48166998035179,241.46594792308116,2103.055986945227
1947,9,164.86509630042175,8.354397366218016,9.435495479283162,13.466450191671058,-2.079088885824852,18.954969669022667,7.635115191304415,39.222135356688725,11.57827615467234,244.5843402861761,2112.441757467286
1947,10,166.4895395751639,8.360747102802822,9.592881340840878,14.718357577300724,-0.17054701273167314,18.090263362747248,7.933904913917279,39.28884961295555,11.69872080068899,248.43618664516217,2123.6183927949683
1947,11,167.77594627752183,8.416292162195655,9.81100637636692,15.423405846447457,1.6765331531511583,17.54372176088295,8.322246700746186,39.49093463154473,11.783256879552184,251.8155935073645,2137.062749979992
1947,12,168.75051414731422,8.518960735001517,10.077112282792202,15.620236576251816,2.862013859580516,17.274014876369804,8.784848385336533,39.82221575549972,11.83402231975883,254.14021984747325,2147.5387909582078
1948,1,169.38389481788317,8.674361642074242,10.389760653229184,15.271646040167886,3.055824276304094,17.304318350003044,9.315977890840106,40.286454967283476,11.847195410198283,255.05028285610499,2152.8325821025373
1948,2,170.28801370441317,8.832277522598721,10.473734070071776,15.247742460981028,3.573683970758449,17.012945191346944,9.675996327421178,40.844962095181245,11.863560248337304,256.5973626879302,2162.9035240402873
1948,3,171.4440914777037,8.992360835327041,10.348505276699038,15.515611498851092,4.248491752937457,16.43373645865002,9.880025781738714,41.49358293753529,11.884244341464411,258.59635445596496,2175.959590074365
1948,4,172.88851146067555,9.152977308221962,9.999100419896768,16.124052738507242,5.140326940619196,15.545479984204501,9.916124520725978,42.23271891795213,11.911756948342287,261.1670432493513,2192.5148773766487
1948,5,174.1908970406727,9.32377656285805,9.786969273031866,16.504004737034705,5.906544353797516,15.106359568359181,10.01743811326406,42.90386768515104,11.964690884598118,263.704981107641,2204.0266953081305
1948,6,175.34659149865163,9.50424612891999,9.70393030707136,16.65294252445806,6.530128705583284,15.071160447436315,10.174437366009958,43.515413396896804,12.039552167059592,266.1499756430075,2210.6301957908213
1948,7,176.34192545551645,9.69697877986172,9.769899820867723,16.540740267253184,6.9932475611671,15.47332284133254,10.399250538293606,44.05949921577233,12.137756156498753,268.4763634034774,2211.9109985557816
1948,8,177.13884066748656,9.863555926541016,9.881499833196917,16.31617839021293,7.232453725191314,15.513732155891073,10.497212731906458,44.64634628029721,12.203283160344858,270.0953942469106,2213.301049381516
1948,9,177.73523387699692,10.001465293597258,10.027600345935365,15.992081342533895,7.230298713641582,15.227945002776387,10.471536729799931,45.27415450393046,12.237960683156391,271.01724234961193,2214.5621265365244
1948,10,178.11299688618087,10.107969616817666,10.204570938565672,15.573041202730613,7.021392853528165,14.58742142408752,10.310546197731972,45.947917701893694,12.238972026373563,271.2447644260722,2216.2381272019516
1948,11,178.0561075649955,10.119481793016321,10.273196208001504,15.171863217399267,6.187624079727505,14.46682537169003,10.129160630184133,46.60718087861957,12.232413606825256,270.75311848326555,2213.40715892892
1948,12,177.61489554882368,10.042548590166012,10.242232853432823,14.786095579870118,4.781983066744329,14.820753204222449,9.932293172083895,47.253901419486745,12.218614366801175,269.61011709066224,2206.552306153566
1949,1,176.78481616531562,9.87370691832991,10.104285300017393,14.417210983511051,3.5818434385059823,15.707193289198155,9.725891854526974,47.89120058690053,12.198411466512246,268.63436482725166,2202.207767500888
1949,2,176.63025236907464,9.729072188724073,9.959059452400904,14.139738288041608,0.5061303598665273,16.207757684188252,9.58531644884779,48.574469028291354,12.168197279348847,266.16116292173956,2187.350819611157
1949,3,177.07793146560965,9.605220892946017,9.807655247581707,13.950050728447344,-2.923973798372509,16.331049026613595,9.500791696625235,49.28933038480812,12.12839125413891,263.6364722510086,2173.7134524007097
1949,4,178.17525913954785,9.507182084181716,9.653639482804417,13.849384026318972,-4.988728781266581,16.03300122321811,9.474589443851114,50.038239084428085,12.07843336563326,262.7933868153815,2175.724109743462
1949,5,178.6383417714799,9.384884910439604,9.511515736730226,13.872373731631205,-5.85571886688288,15.66745741205365,9.383094063102293,50.47787919095026,12.039493491741277,262.31363982329964,2178.776374631032
1949,6,178.5243990889722,9.238933005378684,9.379844780465357,14.017242242049829,-4.599552351850537,15.240541364728237,9.2343164930466,50.62688172462166,12.01107314262546,263.1939733613188,2191.2610991209744
